text,label
Skip to content,real
British Broadcasting Corporation,real
Home,real
News,real
Sport,real
Business,real
Innovation,real
Culture,real
Arts,real
Travel,real
Earth,real
Audio,real
Video,real
Live,real
Israel-Gaza War,real
War in Ukraine,real
US & Canada,real
UK,real
Africa,real
Asia,real
Australia,real
Europe,real
Latin America,real
Middle East,real
In Pictures,real
BBC InDepth,real
BBC Verify,real
UK Politics,real
England,real
N. Ireland,real
Russia is quietly churning out fake content posing as US news,fake
Fox News Accused of Adding Fake Applause During Trump Parade Live Stream: 'They Had to Help Him Out',fake
Republican senator floats using violence against journalists who report 'fake news',fake
So Donald Trump Is Declaring War On US Cities Based On Fake Fox News Footage And Nonsense His ‘People’ Tell Him,fake
Elon Musk will be investigated over fake news and obstruction in Brazil after a Supreme Court order,fake
EU warns Elon Musk that Twitter must comply with fake news laws,fake
Greg Abbott duped by fake news story mocking Garth Brooks,fake
"Olympic boxing gender row a result of Russian fake news, says IOC chief | Olympic Games",fake
"Russia says it prevented border breach from Ukraine, Kyiv calls it fake news",fake
Trump Admits He’s Never Mentioned Bounties to Putin Because He Thinks It’s ‘Fake News’,fake
Ukraine says Russia plans to spread fake news about Ukrainian surrender,fake
Nation’s Imbeciles Lose Their Minds Over Fake News Biden Is Taking Their Red Meat Away,fake
"No, Trump shooter Thomas Matthew Crooks wasn't trans - it's fake news",fake
"In the new Republican worldview, almost all news is fake",fake
Facebook’s only Dutch factchecker has quit over the social network’s refusal to allow them to highlight political lies as being false. “What is the point of fighting fake news if you are not allowed to tackle politicians?” Hoekman asked.,fake
Trump reportedly treats Putin like a 'confidant' and the 2 men commiserate about how the 'fake news' and 'deep state' are against them,fake
France passes laws to crack down on 'fake news' during elections,fake
The German news weekly Der Spiegel is to publish a 23-page special report on how one of its award-winning reporters faked stories for years and dealt a blow to media credibility.,fake
"Trump fumes after ""Fake News"" New York Times leaked audio report",fake
"Brazil's Federal Police named Carlos Bolsonaro, son of President Jair Bolsonaro, as an organizer of a criminal scheme that spread fake news. The Supreme Court conducted the investigation",fake
"Cambridge Analytica Bragged About Using Fake News, Bribes, And Ukranian Hookers to Influence Elections",fake
Lawsuit claims Fox News and the White House collaborated on fake news story to deflect Russian election meddling,fake
The GOP has become the party of fake news and paranoid fantasies,fake
"Russian 'fake news' machine going mad, says French envoy to U.S.",fake
Justin Trudeau to Facebook: Fix your fake news problem — or else,fake
Trump shouted down CNN’s Jim Acosta as ‘fake news’ then took a question from Breitbart.,fake
"Twitter Lights Up After 'Too Embarrassing to Watch' Trump-Merkel Press Conference - President Donald Trump slipped up and called the U.S. a ""company,"" ignored German Chancellor Angela Merkel's request for a handshake, and called a German press outlet ""fake news""",fake
"Anti-vaccine movement spreading ‘fake news’ online and putting children at risk, England’s top doctor warns",fake
"Russian hired 1,000 people to create anti-Clinton 'fake news' in key US states during election, Trump-Russia hearings leader reveals",fake
Vietnam introduces 'fake news' fines for coronavirus misinformation,fake
