text,label,clean_text
Republican senator floats using violence against journalists who report 'fake news',fake,republican senator floats using violence against journalists who report fake news
News,real,news
The GOP has become the party of fake news and paranoid fantasies,fake,the gop has become the party of fake news and paranoid fantasies
UK,real,uk
Arts,real,arts
Innovation,real,innovation
Ukraine says Russia plans to spread fake news about Ukrainian surrender,fake,ukraine says russia plans to spread fake news about ukrainian surrender
Sport,real,sport
"In the new Republican worldview, almost all news is fake",fake,in the new republican worldview almost all news is fake
Asia,real,asia
Elon Musk will be investigated over fake news and obstruction in Brazil after a Supreme Court order,fake,elon musk will be investigated over fake news and obstruction in brazil after a supreme court order
"Russian hired 1,000 people to create anti-Clinton 'fake news' in key US states during election, Trump-Russia hearings leader reveals",fake,russian hired people to create anticlinton fake news in key us states during election trumprussia hearings leader reveals
BBC InDepth,real,bbc indepth
"Twitter Lights Up After 'Too Embarrassing to Watch' Trump-Merkel Press Conference - President Donald Trump slipped up and called the U.S. a ""company,"" ignored German Chancellor Angela Merkel's request for a handshake, and called a German press outlet ""fake news""",fake,twitter lights up after too embarrassing to watch trumpmerkel press conference president donald trump slipped up and called the us a company ignored german chancellor angela merkels request for a handshake and called a german press outlet fake news
War in Ukraine,real,war in ukraine
UK Politics,real,uk politics
Travel,real,travel
Fox News Accused of Adding Fake Applause During Trump Parade Live Stream: 'They Had to Help Him Out',fake,fox news accused of adding fake applause during trump parade live stream they had to help him out
BBC Verify,real,bbc verify
US & Canada,real,us canada
In Pictures,real,in pictures
Trump shouted down CNN’s Jim Acosta as ‘fake news’ then took a question from Breitbart.,fake,trump shouted down cnns jim acosta as fake news then took a question from breitbart
Audio,real,audio
Russia is quietly churning out fake content posing as US news,fake,russia is quietly churning out fake content posing as us news
"Russian 'fake news' machine going mad, says French envoy to U.S.",fake,russian fake news machine going mad says french envoy to us
"No, Trump shooter Thomas Matthew Crooks wasn't trans - it's fake news",fake,no trump shooter thomas matthew crooks wasnt trans its fake news
"Olympic boxing gender row a result of Russian fake news, says IOC chief | Olympic Games",fake,olympic boxing gender row a result of russian fake news says ioc chief olympic games
N. Ireland,real,n ireland
Facebook’s only Dutch factchecker has quit over the social network’s refusal to allow them to highlight political lies as being false. “What is the point of fighting fake news if you are not allowed to tackle politicians?” Hoekman asked.,fake,facebooks only dutch factchecker has quit over the social networks refusal to allow them to highlight political lies as being false what is the point of fighting fake news if you are not allowed to tackle politicians hoekman asked
British Broadcasting Corporation,real,british broadcasting corporation
Europe,real,europe
Home,real,home
"Trump fumes after ""Fake News"" New York Times leaked audio report",fake,trump fumes after fake news new york times leaked audio report
Trump Admits He’s Never Mentioned Bounties to Putin Because He Thinks It’s ‘Fake News’,fake,trump admits hes never mentioned bounties to putin because he thinks its fake news
EU warns Elon Musk that Twitter must comply with fake news laws,fake,eu warns elon musk that twitter must comply with fake news laws
Middle East,real,middle east
"Brazil's Federal Police named Carlos Bolsonaro, son of President Jair Bolsonaro, as an organizer of a criminal scheme that spread fake news. The Supreme Court conducted the investigation",fake,brazils federal police named carlos bolsonaro son of president jair bolsonaro as an organizer of a criminal scheme that spread fake news the supreme court conducted the investigation
Earth,real,earth
Latin America,real,latin america
Africa,real,africa
Vietnam introduces 'fake news' fines for coronavirus misinformation,fake,vietnam introduces fake news fines for coronavirus misinformation
Australia,real,australia
Culture,real,culture
Nation’s Imbeciles Lose Their Minds Over Fake News Biden Is Taking Their Red Meat Away,fake,nations imbeciles lose their minds over fake news biden is taking their red meat away
Israel-Gaza War,real,israelgaza war
England,real,england
Lawsuit claims Fox News and the White House collaborated on fake news story to deflect Russian election meddling,fake,lawsuit claims fox news and the white house collaborated on fake news story to deflect russian election meddling
"Russia says it prevented border breach from Ukraine, Kyiv calls it fake news",fake,russia says it prevented border breach from ukraine kyiv calls it fake news
